X,Y,Unique Squirrel ID,Shift,Date,Age,Primary Fur Color,Location,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from
40.7891774638,-73.9639159298,29C-AM-1007-06,AM,10072018,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,True
40.7959337795,-73.9579564339,38C-PM-1014-09,PM,10142018,Adult,Black,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,True,False,False
40.7892508429,-73.9574648098,31H-PM-1008-02,PM,10082018,Juvenile,Gray,Above Ground,,True,False,True,False,False,,False,False,False,False,True,False,True,False
40.7705999588,-73.9702526753,8H-AM-1017-06,AM,10172018,Adult,Gray,Above Ground,,False,True,False,True,False,,False,False,False,False,False,False,True,False
40.7918613498,-73.9579645940,34F-AM-1007-01,AM,10072018,Adult,Gray,Above Ground,,True,False,True,False,False,,False,False,False,False,False,False,False,True
40.7749505253,-73.9673253417,13H-PM-1010-02,PM,10102018,Adult,Gray,Above Ground,tree,False,False,False,False,True,,False,False,False,False,False,False,True,False
40.7820309825,-73.9640032827,22F-PM-1014-06,PM,10142018,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,True,False,True,False
40.7905847332,-73.9595933195,32E-AM-1007-13,AM,10072018,Adult,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False
40.7937796994,-73.9602222117,35C-AM-1007-05,AM,10072018,Adult,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False
40.7792498736,-73.9680635071,17E-AM-1017-05,AM,10172018,Adult,Black,Above Ground,Branch,False,False,False,False,True,,False,False,False,False,False,False,True,False
40.7686905339,-73.9801666435,2B-PM-1013-01,PM,10132018,Adult,Gray,Ground Plane,,True,False,False,False,False,running (with nut),False,False,False,False,False,False,False,False
40.7813477353,-73.9675634327,19D-AM-1007-01,AM,10072018,Juvenile,Gray,Ground Plane,,False,False,True,True,False,,False,False,False,False,False,False,False,False
40.7982886349,-73.9584970643,40B-AM-1019-03,AM,10192018,Juvenile,Gray,Ground Plane,,True,True,False,False,False,,False,False,False,False,True,True,False,False
40.7681954367,-73.9760298241,3E-PM-1008-07,PM,10082018,Adult,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,False,False,False,True,False
40.7972399134,-73.9568802150,39C-PM-1006-01,PM,10062018,Adult,Gray,Ground Plane,,True,False,False,False,True,,False,False,False,False,False,False,True,False
40.7690526441,-73.9724642436,6G-AM-1008-02,AM,10082018,Juvenile,Gray,Ground Plane,bush,False,False,False,False,True,,False,False,False,False,False,False,True,False
40.7760432720,-73.9690175839,14F-AM-1007-05,AM,10072018,Juvenile,Gray,Ground Plane,,False,False,False,True,False,,False,False,False,False,False,False,True,False
40.7690280986,-73.9704082821,6I-PM-1013-06,PM,10132018,Adult,Gray,Ground Plane,,False,False,False,False,False,playing with #5,False,False,False,False,True,False,False,False
40.7768811640,-73.9684910712,15F-PM-1010-05,PM,10102018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
40.7735232649,-73.9768674813,8B-PM-1012-02,PM,10122018,Adult,Gray,Ground Plane,hiding in bushes,False,False,False,False,True,,False,False,False,False,False,False,False,True
40.7698885241,-73.9797084867,3A-PM-1017-06,PM,10172018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,True
40.7923130403,-73.9528192680,36I-AM-1017-02,AM,10172018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
40.7692602629,-73.9745630038,5E-AM-1008-06,AM,10082018,Adult,Cinnamon,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,True,False,False
40.7903365789,-73.9595002340,32E-PM-1017-13,PM,10172018,Adult,Gray,,,False,False,False,True,True,,False,False,False,False,False,False,True,False
40.7689486658,-73.9741824992,5F-PM-1007-03,PM,10072018,Adult,Gray,Ground Plane,,False,False,False,False,False,hiding nut,False,False,False,False,True,False,True,False
40.7761393552,-73.9749243901,11B-PM-1014-05,PM,10142018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
40.7780143444,-73.9683813256,16E-PM-1018-06,PM,10182018,Adult,Cinnamon,Ground Plane,On a rock,False,False,False,False,True,,False,False,False,False,True,False,True,False
40.7755898127,-73.9694240328,13F-AM-1007-02,AM,10072018,Adult,Cinnamon,,,False,False,False,True,True,,False,False,False,False,False,False,True,False
40.7828364735,-73.9689000979,20B-PM-1013-10,PM,10132018,Adult,Gray,Ground Plane,,False,False,False,False,True,drank from a pond of rain water,False,False,False,False,False,False,True,False
40.7696753656,-73.9804528868,3A-PM-1017-05,PM,10172018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,False,False
40.7873862510,-73.9576245992,29H-PM-1006-01,PM,10062018,Adult,Gray,Above Ground,,False,False,True,False,False,sitting,False,False,False,False,False,False,True,False
40.7845098132,-73.9666007936,23C-PM-1014-03,PM,10142018,Adult,Gray,Above Ground,,False,True,False,False,False,chasing (#4 across trees),False,False,False,False,False,False,False,False
40.7922645522,-73.9614848361,33C-PM-1007-03,PM,10072018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,True,False,True,False
40.7947639241,-73.9546654184,38G-PM-1020-09,PM,10202018,Adult,Gray,Ground Plane,,False,False,False,True,True,,False,False,False,True,False,False,True,False
40.7768804702,-73.9667114027,16G-PM-1017-01,PM,10172018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
40.7921822458,-73.9530035565,36I-PM-1007-07,PM,10072018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
40.7951278622,-73.9615696578,35A-AM-1014-03,AM,10142018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
40.7883840105,-73.9644748360,28C-PM-1006-01,PM,10062018,Adult,Gray,Ground Plane,,False,False,False,False,False,gathering acorns,False,False,False,True,False,False,False,True
40.7914829661,-73.9610705593,32D-AM-1013-06,AM,10132018,Adult,Cinnamon,Ground Plane,,True,False,False,True,True,"eating (a mushroom),circles around us,really fat,scratching himself,grooming activity",False,False,False,False,True,True,False,False
40.7845301288,-73.9688454484,22A-AM-1008-05,AM,10082018,Adult,Gray,Above Ground,trash can,False,False,False,True,False,,False,False,False,True,False,False,False,True
40.7980959471,-73.9578237168,40B-PM-1014-06,PM,10142018,Adult,Gray,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,True,False
40.7809719445,-73.9688271202,19C-PM-1018-01,PM,10182018,Adult,Gray,Ground Plane,,True,True,False,True,False,,False,False,False,False,True,False,True,False
40.7944585082,-73.9617088750,35A-PM-1013-06,PM,10132018,Adult,Cinnamon,Ground Plane,,True,False,False,False,False,,False,False,False,False,False,False,False,True
40.7766530579,-73.9701824826,14E-AM-1008-09,AM,10082018,Adult,Gray,Ground Plane,,True,True,False,False,False,,True,False,False,False,False,False,False,True
40.7766043513,-73.9676410497,15G-PM-1019-05,PM,10192018,Adult,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False
40.7723572030,-73.9708726051,10F-AM-1007-02,AM,10072018,Adult,Gray,Above Ground,,False,False,True,False,False,,False,False,False,False,False,False,False,False
40.7982162224,-73.9541453466,42E-PM-1012-06,PM,10122018,Adult,Cinnamon,Ground Plane,,True,False,False,False,True,,False,False,False,False,False,False,False,True
40.7842927405,-73.9683608296,22B-AM-1013-04,AM,10132018,Adult,Cinnamon,Ground Plane,Under bench,False,False,False,False,True,,False,False,False,False,False,False,False,True
40.7773386665,-73.9680520580,15F-PM-1010-06,PM,10102018,Adult,Gray,Ground Plane,,False,False,False,False,True,,False,False,False,False,False,False,True,False
40.7715877863,-73.9787180871,5A-AM-1006-05,AM,10062018,Adult,Gray,Ground Plane,near 65th St arch,False,False,False,False,True,,False,False,False,True,False,False,False,True
40.7895654069,-73.9565905868,32H-PM-1006-01,PM,10062018,,Gray,Above Ground,in the European Beech,False,False,True,False,False,,False,False,False,False,False,False,False,False
40.7992461675,-73.9565759734,42C-AM-1007-02,AM,10072018,,,,,False,False,False,False,False,,False,True,False,False,False,False,False,False
40.7987384656,-73.9551539498,41D-AM-1014-01,AM,10142018,Adult,Gray,Ground Plane,,False,False,False,False,True,digging,False,False,False,False,False,False,True,False
40.7813537959,-73.9641971814,21G-PM-1007-01,PM,10072018,Adult,Gray,Ground Plane,,False,False,False,True,False,,False,False,False,True,False,False,True,False
40.7768553703,-73.9692883971,14E-AM-1008-02,AM,10082018,Adult,Gray,Ground Plane,,True,False,False,False,True,walking,False,False,False,False,False,False,False,True
40.7699587019,-73.9708549671,7H-PM-1006-04,PM,10062018,Adult,Gray,Above Ground,on tree knob,False,False,False,False,False,sitting,False,False,False,False,False,False,True,False
40.7825111951,-73.9639744006,22F-AM-1007-01,AM,10072018,Adult,Gray,Ground Plane,,False,False,True,False,True,,False,False,False,False,False,False,True,False
40.7712145489,-73.9730277911,7F-AM-1008-16,AM,10082018,Juvenile,Gray,Above Ground,tree,False,False,False,False,False,,False,False,False,False,False,False,False,True
40.7724691606,-73.9710541406,10F-PM-1019-05,PM,10192018,Adult,Black,Above Ground,"Behind fence, tree",False,False,True,False,False,,False,False,False,False,False,False,True,False
